구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
달서서,상원로 143 래미원월성 남편,상원로 143 래미원월성 남편,편측,240,20:00,7:00,,,,,
달성서,화원 대구교도소 동편 전구간,화원 대구교도소 동편 전구간,양측,390,"11:00, 20:00","16:00, 07:00",0:00,0:00,0:00,0:00,
달성서,화원 명천로 133, 화원본리 78-2(편측 공휴일 허용폐지) 희망원→ 명천로 133건너편 구간 ,편측,720,20:00,8:00,0:00,0:00,0:00,0:00,"1.5톤초과 화물차, 30인승초과승합차"
달성서,달성 가창 용계리 235-8(가창교회),달성 가창 용계리 산의 53번지　,양측,1800,"12:00, 22:00","14:00, 07:00",,,,,(1.4톤조업화물차량 15분내 항시허용)
달성서,다사 죽곡리 837 파리바게트,"다사 죽곡리828-6(죽곡리811-4→854-8, 죽곡리828-2→809-1 건너편가로등)",양측,2000,"11:00, 19:00","16:00, 07:00",,,,,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,명천로[코스모스막창(화원읍 명곡리 295-1),명천로 돈까스클럽(화원읍 명곡리 216-7)],양측,600,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,명천로화원중앙교회(화원읍 천내리 808-2),명천로 화원노인회관(화원읍 천내리 873-1),양측,600,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,성천로 대경펌프(화원읍 성산리 760),성천로 세운종합재활용(화원읍 구라리 1608-2),양측,4000,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,다사역로 다사읍 매곡리 694-3,다사역로 드림아이유치원(다사읍 매곡리 535-7),양측,1200,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,테크노중앙대로 테크노중앙공원(유가면 봉리 624),테크노중앙대로 과학관공원(유가면 상리 915-3),양측,1340,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달성서,화암로 명곡우체국(화원읍 명곡리 136),화암로 명곡4단지 404동 앞(화원읍 명곡리 139),양측,680,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
